tran_ratio_count_1D_90D,tran_ratio_count_1D_180D,tran_ratio_amount_10min_1D,tran_ratio_amount_1D_30D,tran_ratio_amount_1D_90D,tran_ratio_amount_1D_180D,isoddhr,Tran_avarage_amount_ratio,Label,transaction_id
0.07792,0.07792,0.38672,0.0887,0.0887,0.0887,0,2.58928,0,77
0.08974,0.08974,0.33167,0.12713,0.12713,0.12713,1,3.32268,0,78
0.06329,0.06329,0.07015,0.10406,0.10406,0.10406,1,0.57949,0,79
0.05,0.05,0.09816,0.08987,0.08987,0.08987,1,0.70652,0,80
0.04938,0.04938,0.19588,0.07057,0.07057,0.07057,0,1.12263,0,81
0.04878,0.04878,0.36657,0.04603,0.04603,0.04603,1,1.39389,0,82
0.04819,0.04819,0.48796,0.07347,0.07347,0.07347,1,3.07149,0,83
0.02381,0.02381,0.18291,0.04352,0.04352,0.04352,1,0.68758,0,84
0.03529,0.03529,0.21958,0.04548,0.04548,0.04548,1,0.17661,0,85
0.04651,0.04651,0.21416,0.05716,0.05716,0.05716,1,1.07256,0,86
0.04598,0.04598,0.29739,0.03117,0.03117,0.03117,1,0.81977,0,87
0.05682,0.05682,0.15563,0.0367,0.0367,0.0367,1,0.50807,0,88
0.06742,0.06742,0.27338,0.04983,0.04983,0.04983,1,1.22824,0,89
0.04444,0.04444,0.26226,0.03804,0.03804,0.03804,1,0.90868,0,90
0.05495,0.05495,0.45815,0.05109,0.05109,0.05109,1,1.25255,0,91
0.05435,0.05435,0.16687,0.05024,0.05024,0.05024,1,0.78066,0,92
0.04301,0.04301,0.36416,0.04881,0.04881,0.04881,1,1.6849,0,93
0.05319,0.05319,0.18108,0.05896,0.05896,0.05896,0,1.02307,0,94
0.06316,0.06316,0.09684,0.06487,0.06487,0.06487,1,0.60582,0,95
0.07292,0.07292,0.03138,0.06684,0.06684,0.06684,1,0.20267,0,96
0.06186,0.06186,0.02995,0.04578,0.04578,0.04578,1,0.13268,0,97
0.06122,0.06122,0.53708,0.07805,0.07805,0.07805,1,4.23378,0,98
0.07071,0.07071,0.58694,0.08666,0.08666,0.08666,1,0.95148,0,99
0.06,0.06,0.24148,0.07907,0.07774,0.07774,1,1.95038,0,100
0.06931,0.06931,0.10851,0.08785,0.08638,0.08638,1,0.98304,0,101
0.07843,0.07843,0.19853,0.09676,0.09516,0.09516,1,1.01765,0,102
0.05825,0.05825,0.16447,0.10321,0.10153,0.10153,1,1.79841,0,103
0.06731,0.06731,0.24228,0.13502,0.12978,0.12978,1,3.49643,0,104
0.06667,0.06667,0.10519,0.10544,0.1014,0.1014,1,1.19873,0,105
0.07547,0.07547,0.28655,0.12879,0.12398,0.12398,1,2.89693,0,106
0.07477,0.07477,0.06745,0.12899,0.12306,0.12306,1,0.96504,0,107
0.07407,0.07407,0.01692,0.11311,0.10792,0.10792,1,0.21272,0,108
0.06422,0.06422,0.06181,0.10165,0.09614,0.09614,1,0.69624,0,109
0.00909,0.00909,1.0,0.00703,0.00656,0.00656,1,0.77348,0,110
0.01802,0.01802,0.26328,0.00992,0.00888,0.00888,1,0.27642,0,111
0.02679,0.02679,0.4294,0.01725,0.01546,0.01546,1,0.79008,0,112
0.0354,0.0354,0.42344,0.03024,0.02652,0.02652,1,1.35132,0,113
0.03509,0.03509,0.4019,0.03772,0.03314,0.03314,0,1.6247,0,114
0.04348,0.04348,0.28199,0.05304,0.04556,0.04556,1,1.58767,0,115
0.03448,0.03448,0.05026,0.04517,0.03881,0.03881,1,0.2415,0,116
0.03419,0.03419,0.12191,0.03725,0.03165,0.03165,1,0.4795,0,117
0.0339,0.0339,0.17253,0.02631,0.02236,0.02236,0,0.48135,0,118
0.02521,0.02521,0.54449,0.02037,0.01675,0.01675,1,1.14857,0,119
0.01667,0.01667,0.46984,0.02083,0.01707,0.01707,1,1.01789,0,120
0.02479,0.02479,0.28504,0.02918,0.02371,0.02371,1,0.86371,0,121
0.02459,0.02459,0.15667,0.02142,0.01741,0.01741,1,0.34954,0,122
0.02439,0.02439,0.16131,0.01399,0.01127,0.01127,1,0.23335,0,123
0.01613,0.01613,0.56161,0.00513,0.00414,0.00414,1,0.29894,0,124
0.016,0.016,0.76776,0.01242,0.00993,0.00993,1,0.98828,0,125
0.01587,0.01587,0.53404,0.02025,0.01621,0.01621,1,1.13266,0,126
0.02362,0.02362,0.34183,0.03044,0.02443,0.02443,1,1.10152,0,127
0.02344,0.02344,0.32855,0.03149,0.02502,0.02502,1,1.09319,0,128
0.03101,0.03101,0.35087,0.04778,0.03803,0.03803,1,1.79854,0,129
0.03846,0.03846,0.38807,0.07578,0.06068,0.06068,1,3.25068,0,130
0.0229,0.0229,0.10163,0.05188,0.04055,0.04055,1,0.57118,0,131
0.01504,0.01504,1.0,0.01622,0.01237,0.01237,1,0.61098,0,132
0.01504,0.01504,1.0,0.01622,0.01237,0.01237,1,1.12497,0,133
0.02239,0.02239,0.30241,0.02309,0.01764,0.01764,1,0.75255,0,134
0.02963,0.02963,0.40574,0.03906,0.02932,0.02932,1,1.69907,0,135
0.03676,0.03676,0.09418,0.04295,0.03227,0.03227,0,0.43537,0,136
0.0219,0.0219,0.33467,0.03022,0.02223,0.02223,1,1.07367,0,137
0.02174,0.02174,0.17565,0.01719,0.01266,0.01266,1,0.32154,0,138
0.00719,0.00719,1.0,0.01727,0.01199,0.01199,1,1.75535,0,139
0.01429,0.01429,0.27013,0.02392,0.01636,0.01636,1,0.64966,0,140
0.01418,0.01418,0.71687,0.02246,0.01543,0.01543,1,1.64488,0,141
0.00704,0.00704,1.0,0.00708,0.00472,0.00472,1,0.70578,0,142
0.01399,0.01399,0.63757,0.02043,0.01293,0.01293,1,1.2416,0,143
0.02083,0.02083,0.38117,0.0326,0.02073,0.02073,1,1.19951,0,144
0.02069,0.02069,0.40567,0.04226,0.02676,0.02676,1,1.66624,0,145
0.0274,0.0274,0.1984,0.05301,0.03316,0.03316,1,1.01657,0,146
0.02041,0.02041,0.28201,0.03824,0.02402,0.02402,1,1.05374,0,147
0.00676,0.00676,1.0,0.02949,0.0185,0.0185,1,2.93283,0,148
0.01342,0.01342,0.32526,0.0431,0.02718,0.02718,1,1.41375,0,149
0.02,0.02,0.14277,0.0508,0.03156,0.03156,0,0.72392,0,150
0.02649,0.02649,0.22611,0.06568,0.04041,0.04041,1,1.48143,0,151
0.03289,0.03289,0.23278,0.08394,0.05204,0.05204,1,1.98787,0,152
0.03922,0.03922,0.31432,0.09299,0.05787,0.05787,1,1.01552,0,153
0.03896,0.03896,0.03539,0.06666,0.04152,0.04152,1,0.24299,0,154
0.03871,0.03871,0.21245,0.06681,0.04149,0.04149,1,1.47068,0,155
0.04487,0.04487,0.01938,0.06804,0.04228,0.04228,0,0.13684,0,156
0.04459,0.04459,0.24169,0.07899,0.04944,0.04944,1,2.01916,0,157
0.03165,0.03165,0.0538,0.03901,0.02417,0.02417,1,0.22002,0,158
0.01887,0.01887,0.38232,0.03444,0.02125,0.02125,1,1.38595,0,159
0.025,0.025,0.45728,0.03901,0.02411,0.02411,1,0.50069,0,160
0.02484,0.02484,0.43757,0.03487,0.02168,0.02168,1,1.63897,0,161
0.03086,0.03086,0.04922,0.03661,0.02278,0.02278,1,0.1939,0,162
0.0184,0.0184,0.39541,0.02925,0.01741,0.01741,1,1.19874,0,163
0.02439,0.02439,0.2501,0.03886,0.02308,0.02308,1,1.01107,0,164
0.01818,0.01818,0.24103,0.02828,0.01656,0.01656,1,0.70179,0,165
0.0241,0.0241,0.0512,0.02976,0.01744,0.01744,1,0.15711,0,166
0.01796,0.01796,0.57365,0.0206,0.01137,0.01137,1,1.15561,0,167
0.0119,0.0119,0.14087,0.0142,0.00758,0.00758,1,0.18948,0,168
0.01183,0.01183,0.61477,0.00535,0.00277,0.00277,1,0.30239,0,169
0.01765,0.01765,0.668,0.01594,0.00829,0.00829,1,0.98966,0,170
0.01754,0.01754,0.52446,0.02939,0.01509,0.01509,1,1.42497,0,171
0.01163,0.01163,0.42804,0.02739,0.01375,0.01375,1,1.06639,0,172
0.01734,0.01734,0.09282,0.03011,0.01514,0.01514,1,0.25492,0,173
0.01724,0.01724,0.57369,0.03442,0.01692,0.01692,1,1.7781,0,174
0.02286,0.02286,0.04367,0.03662,0.01768,0.01768,1,0.14153,0,175
0.02841,0.02841,0.27629,0.0499,0.02427,0.02427,0,1.23727,0,176
0.0226,0.0226,0.36121,0.0551,0.02652,0.02652,1,1.78507,0,177
0.01124,0.01124,0.12444,0.02466,0.01093,0.01093,1,0.25371,0,178
0.01117,0.01117,0.82901,0.02046,0.0079,0.0079,0,1.2301,0,179
0.01111,0.01111,0.1158,0.01965,0.0074,0.0074,1,0.16111,0,180
0.01657,0.01657,0.41752,0.03326,0.01264,0.01264,0,0.9972,0,181
0.02198,0.02198,0.51131,0.06577,0.02553,0.02553,0,2.49891,0,182
0.02186,0.02186,0.23127,0.06309,0.02471,0.02471,1,1.10028,0,183
0.02717,0.02717,0.20436,0.07803,0.03086,0.03086,1,1.22198,0,184
0.03243,0.03243,0.0884,0.08582,0.03375,0.03375,1,0.57986,0,185
0.02151,0.02151,0.21611,0.04793,0.01897,0.01897,1,0.80007,0,186
0.00535,0.00535,1.0,0.01873,0.00711,0.00711,1,1.39687,0,187
0.01064,0.01064,0.57956,0.04449,0.01674,0.01674,1,1.92552,0,188
0.01587,0.01587,0.41939,0.0747,0.02848,0.02848,0,2.39981,0,189
0.02105,0.02105,0.10277,0.08307,0.03164,0.03164,1,0.65546,0,190
0.02094,0.02094,0.2637,0.08611,0.03327,0.03327,1,1.78387,0,191
0.02604,0.02604,0.13417,0.09814,0.03823,0.03823,1,1.04827,0,192
0.01036,0.01036,0.40622,0.02259,0.00861,0.00861,1,0.71717,0,193
0.01031,0.01031,0.81189,0.04763,0.01831,0.01831,1,3.09532,0,194
0.01538,0.01538,0.43995,0.08198,0.03223,0.03223,1,2.99494,0,195
0.02041,0.02041,0.1383,0.0939,0.03721,0.03721,1,1.09256,0,196
0.00508,0.00508,1.0,0.00413,0.00161,0.00161,1,0.34244,0,197
0.0101,0.0101,0.742,0.01581,0.00621,0.00621,1,0.98486,0,198
0.01508,0.01508,0.82121,0.02266,0.00894,0.00894,1,0.58805,0,199
0.005,0.005,1.0,0.01757,0.00632,0.00632,0,1.36213,0,200
0.00995,0.00995,0.49041,0.03416,0.01233,0.01233,1,1.31084,0,201
0.01485,0.01485,0.15484,0.04017,0.01455,0.01455,1,0.48971,0,202
0.00493,0.00493,1.0,0.01767,0.00627,0.00627,1,1.37191,0,203
0.0098,0.0098,0.46264,0.03311,0.01161,0.01161,1,1.18116,0,204
0.01463,0.01463,0.30333,0.04711,0.01658,0.01658,1,1.11161,0,205
0.01942,0.01942,0.45775,0.05973,0.0212,0.0212,1,1.0436,0,206
0.01932,0.01932,0.14913,0.04938,0.01761,0.01761,1,0.58477,0,207
0.02404,0.02404,0.07086,0.05294,0.01893,0.01893,1,0.29904,0,208
0.02871,0.02871,0.0717,0.05757,0.02036,0.02036,1,0.32593,0,209
0.03333,0.03333,0.21197,0.07195,0.0257,0.0257,1,1.22287,0,210
